station,week_r,year_r,monitor_read
Shadipur,3,2015,0.0
Shadipur,4,2015,0.0
Shadipur,5,2015,0.0
Shadipur,6,2015,0.0
Shadipur,7,2015,0.0
Shadipur,8,2015,0.0
Shadipur,9,2015,0.0
Shadipur,10,2015,0.0
Shadipur,11,2015,0.0
Shadipur,12,2015,0.0
Shadipur,13,2015,0.7633928571428571
Shadipur,14,2014,0.0
Shadipur,14,2015,0.8020833333333334
Shadipur,15,2014,0.0
Shadipur,15,2015,0.9300595238095238
Shadipur,16,2014,0.0
Shadipur,16,2015,0.7961309523809523
Shadipur,17,2014,0.0
Shadipur,17,2015,0.9508928571428571
Shadipur,18,2014,0.0
Shadipur,18,2015,0.9553571428571429
Shadipur,19,2014,0.0
Shadipur,19,2015,0.9627976190476191
Shadipur,20,2014,0.0
Shadipur,20,2015,0.8869047619047619
Shadipur,21,2014,0.0
Shadipur,21,2015,0.9136904761904762
Shadipur,22,2014,0.0
Shadipur,22,2015,1.0
Shadipur,23,2014,0.0
Shadipur,23,2015,0.9479166666666666
Shadipur,24,2014,0.0
Shadipur,24,2015,0.9047619047619048
Shadipur,25,2014,0.0
Shadipur,25,2015,0.9627976190476191
Shadipur,26,2014,0.0
Shadipur,26,2015,0.8973214285714286
Shadipur,27,2014,0.0
Shadipur,27,2015,0.8050595238095238
Shadipur,28,2014,0.0
Shadipur,28,2015,0.9776785714285714
Shadipur,29,2014,0.0
Shadipur,29,2015,1.0
Shadipur,30,2014,0.0
Shadipur,30,2015,0.9851190476190477
Shadipur,31,2014,0.0
Shadipur,31,2015,1.0
Shadipur,32,2014,0.0
Shadipur,32,2015,0.8154761904761905
Shadipur,33,2014,0.0
Shadipur,33,2015,0.9107142857142857
Shadipur,34,2014,0.0
Shadipur,34,2015,0.9895833333333334
Shadipur,35,2014,0.0
Shadipur,35,2015,1.0
Shadipur,36,2014,0.0
Shadipur,36,2015,0.9866071428571429
Shadipur,37,2014,0.0
Shadipur,37,2015,0.9226190476190477
Shadipur,38,2014,0.0
Shadipur,38,2015,0.9583333333333334
Shadipur,39,2014,0.0
Shadipur,39,2015,0.7574404761904762
Shadipur,40,2014,0.0
Shadipur,40,2015,0.9940476190476191
Shadipur,41,2014,0.0
Shadipur,41,2015,0.9970238095238095
Shadipur,42,2014,0.0
Shadipur,42,2015,0.9553571428571429
Shadipur,43,2014,0.0
Shadipur,43,2015,0.9851190476190477
Shadipur,44,2014,0.0
Shadipur,44,2015,1.0
Shadipur,45,2014,0.0
Shadipur,45,2015,0.9955357142857143
Shadipur,46,2014,0.0
Shadipur,46,2015,0.9895833333333334
Shadipur,47,2014,0.0
Shadipur,47,2015,0.9836309523809523
Shadipur,48,2014,0.0
Shadipur,48,2015,0.994263862332696
Shadipur,49,2014,0.0
Shadipur,50,2014,0.0
Shadipur,51,2014,0.0
Shadipur,52,2014,0.0
